基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
易方达香港小型股指数A,161124,0.30亿元（2019-12-31）,-0.24%,3.65%,0.81%,-1.07%,7.96%,12.78%,刘树荣/张胜记,1年又209天,-1.34%,2年又233天/9年又346天
易方达香港小型股指数C,006263,0.03亿元（2019-12-31）,-0.26%,3.79%,0.85%,-1.13%,--,-0.79%,刘树荣/张胜记,1年又207天,-0.79%,2年又233天/9年又346天
华宝香港中小(QDII-LOF)A,501021,17.66亿元（2019-12-31）,-1.21%,1.10%,7.21%,6.87%,26.45%,48.32%,周晶,3年又257天,48.32%,6年又264天
华宝香港中小C,006127,0.09亿元（2019-12-31）,-1.24%,1.07%,7.11%,6.59%,--,0.20%,周晶,1年又221天,0.20%,6年又264天
大成恒生综合中小型股指数C,008972,--亿元（--）,--,--,--,--,--,-0.10%,冉凌浩,4天,-0.10%,8年又196天
大成恒生综合中小型股指数A,160922,0.15亿元（2019-12-31）,-2.25%,0.20%,0.50%,-6.55%,-3.76%,-0.10%,冉凌浩,3年又96天,-0.10%,8年又196天
大成恒生指数,160924,0.18亿元（2019-12-31）,-5.08%,-1.52%,-3.28%,-5.81%,--,-2.80%,冉凌浩,2年又210天,-2.80%,8年又196天
华夏恒生ETF联接现汇,000075,10.78亿元（2019-12-31）,-4.41%,-0.38%,-0.80%,-7.48%,14.23%,33.10%,徐猛,2年又118天,-8.37%,6年又335天
华夏沪港通恒生ETF联接A,000948,7.03亿元（2019-12-31）,-5.33%,-1.70%,-2.68%,-3.94%,16.62%,22.24%,徐猛,2年又118天,-2.60%,6年又335天
华夏恒生ETF联接A,000071,10.78亿元（2019-12-31）,-5.31%,-1.84%,-2.94%,-4.31%,15.13%,45.82%,徐猛,2年又118天,-4.14%,6年又335天
汇添富恒生指数分级,164705,2.79亿元（2019-12-31）,-5.39%,-2.25%,-3.49%,-4.69%,14.19%,28.40%,赖中立,6年又3天,28.40%,7年又128天
华夏沪港通恒生ETF联接C,005734,3.69亿元（2019-12-31）,-5.35%,-1.78%,-2.82%,-4.25%,--,-4.58%,徐猛,2年又0天,-4.58%,6年又335天
华夏恒生ETF联接C,006381,1.53亿元（2019-12-31）,-5.33%,-1.92%,-3.08%,-4.62%,--,-1.84%,徐猛,1年又170天,-1.84%,6年又335天
嘉实恒生中国企业,160717,2.37亿元（2019-12-31）,-4.45%,-0.93%,-2.31%,-4.03%,6.15%,-18.39%,高峰/何如,340天,-4.00%,340天/5年又304天
易方达恒生国企ETF联接现钞A,110033,18.06亿元（2019-12-31）,-2.97%,0.47%,0.18%,-7.27%,8.64%,7.41%,成曦/余海燕/张胜记,1年又209天,-1.11%,3年又305天/8年又113天/9年又346天
易方达恒生国企ETF联接现汇A,110032,18.06亿元（2019-12-31）,-2.97%,0.47%,0.18%,-7.27%,8.64%,7.41%,成曦/余海燕/张胜记,1年又209天,-1.11%,3年又305天/8年又113天/9年又346天
银华恒生国企指数分级,161831,15.07亿元（2019-12-31）,-4.09%,-0.96%,-2.32%,-5.17%,7.65%,9.95%,李宜璇/乐育涛,2年又1天,-2.82%,2年又73天/8年又303天
易方达恒生国企ETF联接A,110031,18.06亿元（2019-12-31）,-3.89%,-1.04%,-1.98%,-4.14%,9.47%,17.64%,成曦/余海燕/张胜记,1年又209天,-0.13%,3年又305天/8年又113天/9年又346天
易方达恒生国企ETF联接C,005675,1.73亿元（2019-12-31）,-3.91%,-1.28%,0.55%,-1.81%,--,2.33%,成曦/余海燕/张胜记,1年又209天,1.96%,3年又305天/8年又113天/9年又346天
广发纳斯达克100指数A,270042,21.12亿元（2019-12-31）,-8.55%,1.54%,6.77%,23.90%,59.56%,226.35%,刘杰,330天,15.70%,5年又342天
华安纳斯达克100指数,040046,2.88亿元（2019-12-31）,-7.05%,3.03%,8.04%,25.30%,58.92%,168.90%,倪斌,1年又161天,15.21%,1年又179天
国泰纳斯达克100指数,160213,10.58亿元（2019-12-31）,-8.12%,2.57%,7.84%,25.24%,60.65%,341.18%,吴向军,1年又182天,18.23%,6年又317天
大成纳斯达克100,000834,5.36亿元（2019-12-31）,-7.81%,1.50%,6.16%,22.21%,55.01%,110.20%,冉凌浩,5年又116天,110.20%,8年又196天
广发纳斯达克100指数C,006479,1.33亿元（2019-12-31）,-8.57%,1.48%,6.62%,23.43%,--,21.57%,刘杰,330天,15.32%,5年又342天
博时标普500ETF联接A,050025,9.31亿元（2019-12-31）,-8.83%,-3.71%,0.30%,12.78%,28.32%,150.91%,汪洋/万琼,3年又296天,54.81%,5年又46天/4年又274天
博时标普500ETF联接C,006075,1.49亿元（2019-12-31）,-8.89%,-3.84%,0.06%,12.26%,--,17.57%,万琼/汪洋,1年又274天,17.57%,4年又274天/5年又46天
大成标普500等权重指数,096001,2.44亿元（2019-12-31）,-11.00%,-7.89%,-4.39%,4.28%,15.01%,107.83%,冉凌浩,8年又195天,138.61%,8年又196天
易标普信息科技人民币,161128,2.40亿元（2019-12-31）,-10.11%,1.46%,7.09%,29.85%,70.56%,78.47%,刘树荣/范冰,1年又209天,23.45%,2年又233天/2年又348天
华宝标普美国消费人民币,162415,3.15亿元（2019-12-31）,-10.19%,-5.05%,-6.88%,8.21%,32.47%,54.20%,周晶,3年又355天,54.20%,6年又264天
广发全球医疗保健(QDII),000369,2.54亿元（2019-12-31）,-5.70%,-1.86%,5.75%,12.73%,29.79%,80.22%,刘杰,1年又169天,8.98%,5年又342天
易方达标普消费品指数C,005676,0.04亿元（2019-12-31）,-9.92%,-5.95%,-1.98%,4.91%,--,7.00%,范冰/张胜记,2年又27天,7.00%,2年又348天/9年又346天
易方达标普消费品指数A,118002,0.52亿元（2019-12-31）,-9.88%,-5.93%,-1.92%,5.24%,27.98%,88.90%,范冰/张胜记,2年又348天,23.95%,2年又348天/9年又346天
