基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
工银全球精选股票(QDII),486002,5.82亿元（2019-12-31）,-7.42%,-0.91%,-0.40%,14.40%,43.97%,149.50%,游凛峰,9年又289天,149.50%,10年又74天
华宝海外中国成长混合,241001,3.58亿元（2019-12-31）,8.12%,16.55%,20.30%,22.34%,41.79%,94.40%,周欣,10年又69天,71.43%,10年又69天
嘉实美国成长股票人民币,000043,5.30亿元（2019-12-31）,-7.52%,0.09%,1.48%,17.64%,42.27%,112.70%,张自力,6年又268天,112.70%,6年又268天
海富通中国海外混合,519601,1.53亿元（2019-12-31）,2.84%,11.66%,13.10%,17.80%,43.21%,157.25%,陶意非/高峥,1年又37天,30.96%,1年又37天/2年又192天
富国中国中小盘混合,100061,15.88亿元（2019-12-31）,7.65%,12.03%,15.25%,16.78%,31.82%,156.14%,张峰,7年又186天,156.14%,8年又332天
上投摩根中国生物医药(QDII),001984,3.34亿元（2019-12-31）,11.35%,25.33%,39.74%,68.29%,51.76%,49.64%,方钰涵,204天,50.03%,1年又217天
交银环球精选混合(QDII),519696,1.29亿元（2019-12-31）,-5.26%,-1.91%,1.03%,11.55%,28.75%,178.12%,陈舒薇/周中/陈俊华,59天,-4.68%,59天/4年又87天/4年又108天
嘉实全球互联网股票人民币,000988,11.09亿元（2019-12-31）,-3.56%,8.51%,11.05%,19.86%,52.91%,70.80%,张丹华,3年又55天,63.60%,4年又298天
嘉实美国成长股票美元现汇,000044,0.52亿元（2019-12-31）,-6.97%,1.69%,3.60%,13.41%,40.42%,86.90%,张自力,6年又268天,86.90%,6年又268天
华夏移动互联混合人民币,002891,1.23亿元（2019-12-31）,11.04%,24.91%,31.91%,41.77%,66.50%,67.00%,刘平,2年又171天,42.13%,4年又99天
嘉实全球互联网股票美元现钞,000990,6.24亿元（2019-12-31）,-3.04%,10.21%,13.29%,15.56%,51.06%,50.00%,张丹华,3年又55天,62.16%,4年又298天
汇添富全球互联混合,001668,3.62亿元（2019-12-31）,-0.63%,10.12%,13.35%,26.86%,89.21%,90.16%,杨瑨,1年又296天,25.35%,3年又42天
国富大中华精选混合,000934,5.59亿元（2019-12-31）,6.48%,17.66%,21.46%,28.23%,63.76%,72.60%,徐成,4年又13天,126.21%,4年又75天
广发全球精选股票(QDII),270023,6.49亿元（2019-12-31）,4.32%,14.32%,18.33%,21.22%,31.85%,137.40%,余昊,3年又88天,41.79%,3年又274天
诺安全球收益不动产,320017,0.47亿元（2019-12-31）,-5.82%,-5.19%,-8.46%,2.54%,-0.71%,53.60%,赵磊,6年又211天,49.71%,8年又168天
富国全球科技互联网(QDII),100055,0.28亿元（2019-12-31）,2.27%,11.41%,18.05%,17.86%,40.25%,75.59%,宁君/张峰,45天,1.35%,1年又184天/8年又332天
建信全球机遇混合(QDII),539001,0.77亿元（2019-12-31）,-5.98%,-1.33%,1.37%,6.48%,20.64%,47.90%,李博涵,2年又31天,4.23%,6年又216天
国泰中国企业境外高收益债,000103,0.49亿元（2019-12-31）,-0.25%,-0.08%,2.20%,8.61%,8.85%,48.25%,吴向军,6年又317天,48.25%,6年又317天
上投摩根中国世纪人民币,003243,3.79亿元（2019-12-31）,5.36%,12.21%,12.05%,15.90%,49.04%,55.30%,王丽军/征茂平,3年又117天,55.30%,3年又117天/6年又230天
嘉实全球互联网股票美元现汇,000989,6.24亿元（2019-12-31）,-3.04%,10.21%,13.29%,15.56%,51.06%,50.00%,张丹华,3年又55天,62.16%,4年又298天
景顺长城大中华混合,262001,1.63亿元（2019-12-31）,5.67%,13.23%,20.21%,20.45%,50.90%,101.99%,鲍无可/周寒颖,19天,-0.70%,5年又255天/3年又278天
博时亚洲票息收益债券,050030,26.58亿元（2019-12-31）,0.24%,0.63%,2.06%,9.75%,14.61%,68.14%,何凯,5年又341天,58.13%,5年又341天
华安香港精选股票(QDII),040018,5.39亿元（2019-12-31）,3.99%,13.66%,15.02%,10.40%,27.19%,53.90%,翁启森/苏圻涵,9年又172天,53.90%,9年又172天/13年又129天
汇添富全球消费混合人民币C,006309,0.25亿元（2019-12-31）,7.06%,14.84%,19.56%,47.87%,--,58.83%,郑慧莲/胡昕炜,1年又168天,58.83%,2年又86天/3年又334天
汇添富全球消费混合人民币A,006308,1.41亿元（2019-12-31）,7.15%,15.13%,20.15%,49.42%,--,61.34%,郑慧莲/胡昕炜,1年又168天,61.34%,2年又86天/3年又334天
汇添富全球消费混合美元现汇,006310,0.66亿元（2019-12-31）,7.79%,16.98%,22.62%,44.07%,--,58.74%,郑慧莲/胡昕炜,1年又168天,58.74%,2年又86天/3年又334天
工银全球股票(QDII),486001,8.78亿元（2019-12-31）,-4.73%,2.06%,4.61%,16.62%,50.94%,130.14%,游凛峰,5年又270天,101.70%,10年又74天
华夏大中华混合(QDII),002230,1.22亿元（2019-12-31）,4.83%,9.18%,13.81%,15.25%,1.63%,36.80%,黄芳,1年又148天,25.97%,2年又50天
长盛环球行业混合(QDII),080006,0.17亿元（2019-12-31）,2.44%,8.88%,12.77%,11.59%,20.00%,45.21%,吴达,2年又237天,11.59%,11年又151天
富国蓝筹精选股票(QDII),007455,1.74亿元（2019-12-31）,9.58%,27.14%,37.25%,--,--,43.76%,宁君/张峰,199天,38.63%,1年又184天/8年又332天
广发亚太中高收益债券,000274,0.97亿元（2019-12-31）,0.29%,1.19%,4.12%,6.72%,10.16%,45.36%,孙敏,2年又119天,11.15%,2年又119天
国投瑞银中国价值发现股票,161229,1.84亿元（2019-12-31）,1.76%,6.58%,9.02%,10.66%,40.92%,80.06%,汤海波,4年又78天,77.48%,7年又364天
华夏收益债券(QDII)A,001061,16.08亿元（2019-12-31）,-0.51%,1.33%,2.55%,10.67%,16.06%,61.67%,邓思聪,1年又43天,11.90%,1年又53天
华安大中华升级股票,040021,0.72亿元（2019-12-31）,0.22%,5.03%,6.55%,1.45%,9.91%,39.80%,翁启森/苏圻涵,8年又297天,39.80%,9年又172天/13年又129天
汇添富全球医疗混合美元现钞,004879,0.47亿元（2019-12-31）,3.48%,11.19%,15.24%,23.44%,--,31.19%,刘江,2年又204天,31.19%,4年又264天
工银香港中小盘人民币,002379,0.84亿元（2019-12-31）,3.54%,8.87%,12.15%,15.16%,16.23%,37.50%,赵宪成,75天,4.96%,1年又73天
国富全球科技互联混合人民币,006373,0.10亿元（2019-12-31）,-2.37%,11.53%,20.11%,35.28%,--,45.61%,狄星华/徐成,1年又108天,45.61%,1年又108天/4年又75天
嘉实新兴市场A1(QDII),000342,14.75亿元（2019-12-31）,-0.07%,3.02%,2.12%,13.66%,19.28%,77.27%,国歌(Guo Ge)/关子宏,64天,2.12%,64天/6年又103天
华夏收益债券(QDII)C,001063,10.38亿元（2019-12-31）,-0.52%,1.29%,2.38%,10.27%,14.72%,57.07%,邓思聪,1年又43天,11.44%,1年又53天
国富全球科技互联混合美元现汇,006374,0.02亿元（2019-12-31）,-1.88%,13.09%,22.24%,30.00%,--,45.77%,狄星华/徐成,1年又108天,45.77%,1年又108天/4年又75天
汇添富全球医疗混合人民币,004877,1.51亿元（2019-12-31）,2.86%,9.43%,12.91%,27.92%,--,36.39%,刘江,2年又204天,36.39%,4年又264天
汇添富全球医疗混合美元现汇,004878,0.47亿元（2019-12-31）,3.48%,11.19%,15.24%,23.44%,--,31.19%,刘江,2年又204天,31.19%,4年又264天
嘉实全球房地产(QDII),070031,0.53亿元（2019-12-31）,-3.85%,-3.27%,-1.00%,12.18%,20.56%,59.97%,蔡德森,4年又202天,35.59%,7年又228天
上投摩根全球多元配置人民币,003629,5.64亿元（2019-12-31）,-5.08%,-2.11%,-0.40%,9.83%,20.52%,25.10%,张军,3年又79天,25.10%,12年又2天
博时大中华亚太精选,050015,1.81亿元（2019-12-31）,-0.73%,0.41%,3.49%,6.11%,5.37%,30.32%,杨涛,2年又99天,-7.18%,2年又99天
嘉实新兴市场C2(QDII),000341,2.05亿元（2019-12-31）,0.48%,4.49%,3.97%,9.11%,16.59%,32.86%,国歌(Guo Ge)/关子宏,64天,2.44%,64天/6年又103天
海富通大中华混合(QDII),519602,0.25亿元（2019-12-31）,3.37%,12.32%,12.98%,17.00%,44.28%,34.90%,陶意非/高峥,1年又37天,30.09%,1年又37天/2年又192天
南方香港成长(QDII),001691,0.66亿元（2019-12-31）,6.39%,16.91%,20.82%,27.39%,37.50%,26.50%,黄亮,339天,24.14%,10年又256天
大成海外中国机会混合,160923,0.60亿元（2019-12-31）,-0.17%,1.98%,0.51%,4.21%,17.99%,18.70%,冉凌浩,3年又69天,18.70%,8年又196天
华夏新时代混合(QDII),005534,1.12亿元（2019-12-31）,6.44%,16.38%,20.16%,21.13%,--,21.49%,常亚桥,236天,26.01%,1年又282天
中银美元债债券人民币,002286,2.99亿元（2019-12-31）,0.00%,-0.33%,0.25%,8.67%,9.46%,20.30%,郑涛,2年又337天,8.97%,3年又274天
富国全球债券(QDII),100050,1.78亿元（2019-12-31）,0.08%,0.24%,0.24%,8.81%,8.91%,18.82%,沈博文,1年又240天,11.05%,1年又240天
南方亚洲美元债人民币C,002401,3.67亿元（2019-12-31）,-0.35%,-0.02%,0.97%,8.57%,8.30%,19.73%,苏炫纲,4年又5天,19.73%,4年又5天
华安全球美元收益债人民币A,002391,5.37亿元（2019-12-31）,-0.34%,-0.67%,0.17%,8.90%,6.74%,18.70%,庄宇飞,2年又10天,12.62%,2年又357天
鹏华全球高收益债(QDII),000290,24.79亿元（2019-12-31）,-0.43%,1.13%,2.77%,10.09%,10.71%,59.14%,尤柏年,5年又191天,46.41%,7年又287天
融通中国概念债券,005243,0.88亿元（2019-12-31）,0.60%,1.28%,0.94%,7.90%,--,21.40%,成涛,2年又48天,20.23%,2年又56天
南方亚洲美元债人民币A,002400,14.83亿元（2019-12-31）,-0.31%,0.11%,1.22%,9.12%,9.95%,22.13%,苏炫纲,4年又5天,22.13%,4年又5天
银华全球优选,183001,0.65亿元（2019-12-31）,-5.91%,-3.51%,-0.90%,4.76%,21.12%,21.00%,李宜璇/乐育涛,1年又340天,10.60%,2年又73天/8年又303天
国富亚洲机会股票(QDII),457001,3.98亿元（2019-12-31）,3.75%,14.66%,16.80%,22.20%,42.48%,28.95%,徐成,4年又13天,82.13%,4年又75天
