基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
泓德裕泰债券C,002139,1.26亿元（2019-12-31）,1.35%,5.65%,7.74%,14.55%,25.09%,30.10%,李倩,1年又134天,16.68%,4年又78天
华安安心收益债券B,040037,0.31亿元（2019-12-31）,3.99%,7.95%,4.35%,9.59%,22.56%,86.08%,郑可成,7年又183天,86.08%,10年又174天
鹏华9-10年利率发起式债券,007309,0.12亿元（2019-12-31）,1.81%,4.93%,4.34%,--,--,7.29%,李振宇,303天,7.29%,3年又70天
泓德裕泰债券A,002138,33.26亿元（2019-12-31）,1.33%,5.71%,7.95%,14.96%,26.31%,32.88%,李倩,1年又134天,17.18%,4年又78天
华安安心收益债券A,040036,0.53亿元（2019-12-31）,3.97%,8.00%,4.53%,9.91%,24.27%,86.62%,郑可成,7年又183天,86.62%,10年又174天
国泰可转债债券,005246,0.61亿元（2019-12-31）,3.10%,11.22%,14.05%,17.61%,--,21.15%,李海,2年又70天,21.15%,3年又273天
建信转债增强债券C,531020,0.68亿元（2019-12-31）,6.06%,13.19%,10.66%,7.27%,9.23%,162.60%,李峰,208天,16.25%,2年又297天
建信双债增强债券C,000208,0.27亿元（2019-12-31）,3.30%,5.56%,4.33%,2.04%,2.04%,26.44%,彭紫云/朱虹,234天,4.86%,235天/7年又214天
建信双债增强债券A,000207,0.24亿元（2019-12-31）,3.38%,5.68%,4.56%,2.39%,3.22%,29.67%,彭紫云/朱虹,234天,5.07%,235天/7年又214天
建信转债增强债券A,530020,0.48亿元（2019-12-31）,6.09%,13.34%,10.87%,7.69%,10.42%,170.20%,李峰,208天,16.52%,2年又297天
华润元大稳健债券A,001212,0.02亿元（2019-12-31）,1.93%,4.55%,1.83%,2.90%,7.97%,8.42%,梁昕/王致远/李仆,360天,2.90%,360天/1年又7天/6年又183天
华润元大稳健债券C,001213,0.02亿元（2019-12-31）,1.85%,4.39%,1.65%,2.53%,6.88%,6.63%,梁昕/王致远/李仆,360天,2.43%,360天/1年又7天/6年又183天
天弘同利债券(LOF),164210,0.42亿元（2019-12-31）,1.36%,3.73%,3.86%,6.86%,14.92%,79.16%,柴文婷/刘洋,319天,7.16%,2年又332天/2年又332天
前海开源润和债券A,004602,3.13亿元（2019-12-31）,1.30%,3.56%,4.18%,6.13%,--,16.15%,王旭巍,1年又352天,14.19%,13年又338天
前海开源润和债券C,004603,0.62亿元（2019-12-31）,1.29%,3.54%,4.14%,6.03%,--,15.00%,王旭巍,1年又352天,13.32%,13年又338天
金鹰元盛债券型发起式E,004333,1.74亿元（2019-12-31）,1.24%,3.90%,4.72%,5.70%,25.57%,25.46%,戴骏,303天,5.62%,3年又139天
金鹰元盛债券型发起式C,162108,0.33亿元（2019-12-31）,1.18%,3.72%,4.30%,5.01%,14.35%,32.05%,戴骏,303天,5.01%,3年又139天
蜂巢添幂中短债C,007219,0.00亿元（2019-12-31）,1.33%,2.64%,--,--,--,3.30%,李海涛/廖新昌,116天,3.21%,234天/1年又37天
蜂巢添幂中短债A,007218,2.05亿元（2019-12-31）,1.36%,2.74%,--,--,--,3.48%,李海涛/廖新昌,116天,3.34%,234天/1年又37天
鹏华可转债债券,000297,0.84亿元（2019-12-31）,7.17%,20.45%,20.70%,23.52%,40.65%,16.60%,王石千,1年又238天,37.66%,1年又345天
鹏华丰享债券,004388,2.98亿元（2019-12-31）,1.19%,2.33%,2.65%,6.16%,--,19.19%,方昶,185天,2.80%,1年又238天
银河泰利纯债A,519675,0.57亿元（2019-12-31）,1.36%,3.80%,3.74%,4.79%,11.45%,59.31%,韩晶,1年又176天,8.54%,10年又55天
南方丰元信用增强债券C,000356,3.38亿元（2019-12-31）,1.60%,4.00%,5.38%,7.15%,18.20%,46.21%,杜才超,2年又34天,17.11%,3年又89天
