基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
银河庭芳3个月定开债券,005749,24.97亿元（2019-12-31）,1.48%,2.48%,2.65%,4.35%,--,9.95%,刘铭,1年又359天,9.95%,3年又89天
华夏鼎琪三个月定开债券,007576,2.13亿元（2019-12-31）,2.73%,4.70%,5.30%,--,--,5.66%,何家琪,227天,5.66%,3年又184天
海富通一年定开债A,519051,1.19亿元（2019-12-31）,1.66%,2.68%,3.66%,6.05%,15.45%,102.61%,夏妍妍,144天,3.49%,2年又62天
海富通一年定开债C,001976,0.03亿元（2019-12-31）,1.63%,2.58%,3.48%,5.64%,17.65%,15.79%,夏妍妍,144天,3.37%,2年又62天
景顺长城景泰稳利定开债C,006065,0.13亿元（2019-12-31）,0.94%,2.27%,2.87%,5.31%,--,9.08%,陈威霖/成念良,1年又270天,9.08%,3年又322天/4年又88天
景顺长城景泰稳利定开债A,005327,2.33亿元（2019-12-31）,0.96%,2.37%,3.07%,5.73%,--,11.87%,陈威霖/成念良,2年又72天,11.87%,3年又322天/4年又88天
国富恒丰定期债券A,000351,0.77亿元（2020-02-21）,1.57%,2.59%,2.63%,6.09%,15.13%,46.37%,王莉,162天,3.03%,4年又46天
嘉实增强信用定期债券,000005,1.23亿元（2019-12-31）,1.64%,3.44%,4.82%,7.75%,21.21%,44.15%,刘宁,3年又96天,20.64%,7年又1天
博时安丰18个月定开债C,160523,0.03亿元（2019-12-31）,1.96%,4.39%,4.70%,8.02%,14.43%,11.55%,程卓,1年又260天,13.85%,3年又209天
南方稳利1年定开债C,000720,0.16亿元（2019-12-31）,1.06%,3.02%,3.83%,6.36%,11.76%,26.21%,何康,2年又34天,11.19%,5年又112天
博时安丰18个月定开债A,160515,2.70亿元（2019-12-31）,1.99%,4.54%,4.94%,8.44%,16.81%,63.41%,程卓,1年又260天,14.65%,3年又209天
南方稳利1年定开债A,000086,16.33亿元（2019-12-31）,1.05%,3.21%,4.01%,6.75%,13.03%,40.75%,何康,2年又34天,12.24%,5年又112天
中银永利半年定开债,002826,20.39亿元（2019-12-31）,2.75%,5.77%,5.97%,9.46%,22.46%,20.75%,陈志华,3年又260天,20.75%,3年又328天
鑫元悦利定开债发起式,006754,2.13亿元（2019-12-31）,1.66%,2.80%,3.47%,--,--,4.14%,赵慧/颜昕,312天,4.14%,4年又55天/4年又256天
建信安心回报6个月定开A,000346,0.12亿元（2019-12-31）,1.09%,2.34%,2.86%,6.80%,19.07%,44.84%,闫晗,1年又38天,7.11%,2年又125天
大成惠明定开纯债债券,004389,8.35亿元（2019-12-31）,0.94%,2.16%,2.83%,4.58%,--,15.18%,方孝成/陈会荣,160天,2.71%,2年又120天/3年又214天
中融聚商定期开放债券,005361,40.06亿元（2019-12-31）,0.91%,2.38%,2.87%,3.87%,--,11.04%,李倩,2年又0天,11.04%,5年又139天
中欧强瑞多策略债券,002725,2.53亿元（2019-12-31）,1.33%,2.88%,3.40%,7.62%,20.78%,21.50%,赵国英,1年又199天,12.60%,1年又199天
建信安心回报6个月定开C,000347,0.44亿元（2019-12-31）,1.05%,2.24%,2.68%,3.72%,14.80%,37.92%,闫晗,1年又38天,4.02%,2年又125天
易方达裕景添利6个月定开债,002600,20.96亿元（2019-12-31）,1.88%,4.97%,6.63%,10.43%,26.21%,29.87%,林森,2年又26天,23.80%,4年又101天
建信睿信三个月定开债,008064,2.10亿元（2019-12-31）,0.82%,--,--,--,--,1.74%,李峰,67天,1.74%,2年又297天
建信恒远一年定开债,003427,173.00亿元（2019-12-31）,0.87%,2.31%,2.69%,4.90%,14.04%,15.26%,朱虹,3年又111天,15.26%,7年又214天
汇添富年年利定开债C,000222,0.34亿元（2019-12-31）,2.27%,3.65%,3.90%,8.38%,11.01%,36.10%,徐光,1年又112天,12.30%,1年又199天
国投瑞银顺祥债券,006027,61.08亿元（2019-12-31）,1.82%,3.19%,4.21%,6.43%,--,8.81%,颜文浩/李达夫,1年又142天,8.81%,5年又188天/7年又214天
博时裕通定开债C,002812,0.00亿元（2019-12-31）,1.00%,2.54%,3.15%,5.16%,12.24%,12.68%,黄海峰,2年又281天,12.46%,4年又321天
博时裕通定开债A,002716,10.28亿元（2019-12-31）,1.00%,2.56%,3.20%,5.35%,11.50%,12.84%,黄海峰,2年又281天,11.72%,4年又321天
建信安心回报债券C,000106,0.31亿元（2019-12-31）,0.84%,2.08%,2.16%,5.25%,14.43%,33.71%,闫晗,1年又38天,5.67%,2年又125天
华夏鼎旺三个月定开债A,005213,21.28亿元（2019-12-31）,1.15%,2.77%,3.32%,6.20%,--,13.73%,张海静,222天,4.17%,1年又1天
汇添富年年利定开债A,000221,2.81亿元（2019-12-31）,2.29%,3.79%,4.11%,8.76%,12.44%,39.66%,徐光,1年又112天,12.78%,1年又199天
建信安心回报债券A,000105,0.35亿元（2019-12-31）,0.89%,2.18%,2.33%,5.67%,15.65%,37.35%,闫晗,1年又38天,6.08%,2年又125天
南方弘利C,002219,0.00亿元（2019-06-30）,1.45%,3.26%,0.37%,3.81%,14.71%,14.37%,陶铄,3年又12天,14.71%,8年又29天
南方弘利A,002218,20.31亿元（2019-12-31）,1.45%,3.26%,4.00%,7.57%,18.86%,18.51%,陶铄,3年又12天,18.86%,8年又29天
建信睿阳一年定期开放债券,008344,10.10亿元（2019-12-23）,0.86%,--,--,--,--,1.39%,李峰,75天,1.39%,2年又297天
鹏华尊信3个月定开发起式债券,007870,10.23亿元（2019-12-31）,1.30%,2.65%,3.59%,--,--,3.56%,祝松,191天,3.56%,6年又15天
建信恒瑞一年定开债,003400,173.53亿元（2019-12-31）,0.78%,1.89%,2.22%,4.22%,13.99%,15.25%,李菁,3年又112天,15.25%,12年又128天
南方颐元定开债券发起式A,003337,21.07亿元（2019-12-31）,0.88%,2.29%,2.90%,5.29%,14.78%,13.84%,陶铄,3年又163天,13.84%,8年又29天
南方颐元定开债券发起式C,003338,0.00亿元（2019-06-30）,0.88%,2.29%,2.90%,-0.58%,7.70%,6.82%,陶铄,3年又163天,6.82%,8年又29天
南方宣利定开债C,003777,0.00亿元（2019-12-31）,1.23%,2.81%,3.45%,5.73%,15.20%,14.97%,杜才超,117天,3.04%,3年又89天
兴业嘉润3个月定开债,005710,39.95亿元（2019-12-31）,1.25%,2.05%,2.59%,4.83%,--,10.50%,徐青,2年又0天,10.50%,3年又48天
南华瑞鑫定期开放债券,005625,33.56亿元（2019-12-31）,0.78%,1.27%,3.03%,3.53%,--,9.93%,王明德/尹粒宇,50天,0.85%,1年又338天/2年又181天
华安安逸半年定开债,005501,14.50亿元（2019-12-31）,0.75%,2.18%,2.99%,4.71%,--,8.81%,郑如熙,1年又358天,8.81%,2年又248天
南方宣利定开债A,003776,5.78亿元（2019-12-31）,1.26%,2.87%,3.61%,6.11%,16.55%,16.42%,杜才超,117天,3.13%,3年又89天
金鹰添益3个月定开债,003163,27.41亿元（2019-12-31）,0.85%,2.19%,2.94%,4.94%,16.85%,17.70%,黄倩倩,1年又302天,11.10%,2年又275天
国投瑞银顺泓债券,005995,22.03亿元（2019-12-31）,1.43%,2.56%,3.13%,5.21%,--,9.87%,宋璐/颜文浩,112天,2.70%,3年又225天/5年又188天
民生加银岁岁增利债券C,000138,0.36亿元（2019-12-31）,0.92%,3.23%,4.04%,6.93%,19.71%,52.74%,胡振仓,1年又351天,15.69%,10年又315天
民生加银岁岁增利债券A,000137,18.82亿元（2019-12-31）,0.94%,3.33%,4.23%,7.35%,21.18%,56.79%,胡振仓,1年又351天,16.57%,10年又315天
鹏华永泰定期开放债券,004503,2.31亿元（2019-12-31）,1.38%,3.33%,3.73%,6.98%,--,19.53%,祝松,2年又287天,19.53%,6年又15天
汇添富鑫泽定开债A,004831,25.86亿元（2019-12-31）,0.82%,2.22%,2.76%,5.34%,--,9.83%,徐光/陆文磊,1年又199天,7.21%,1年又199天/12年又4天
华安鼎瑞定开债发起式,005377,41.35亿元（2019-12-31）,0.77%,2.49%,3.29%,4.98%,--,10.72%,李邦长,2年又85天,10.72%,4年又6天
南方浙利定开债券,005469,40.78亿元（2019-12-31）,0.74%,2.07%,2.77%,4.75%,--,11.76%,黄斌斌,288天,4.17%,2年又27天
金鹰添润定开债,004045,0.10亿元（2019-12-31）,0.32%,0.73%,1.24%,4.38%,14.56%,14.72%,黄倩倩,1年又240天,7.75%,2年又275天
中融季季红定开债C,005714,0.00亿元（2019-12-31）,1.11%,2.55%,3.10%,4.06%,--,10.59%,王玥,304天,3.79%,5年又251天
平安合韵定开债,005077,9.87亿元（2019-12-31）,0.80%,2.37%,2.97%,4.97%,--,9.41%,余斌,213天,3.21%,2年又143天
海富通鼎丰定开债券,006219,5.15亿元（2019-12-31）,1.13%,2.65%,3.14%,6.45%,--,8.71%,张靖爽,1年又126天,8.71%,3年又229天
海富通弘丰定开债券,005842,20.33亿元（2019-12-31）,1.09%,2.55%,3.25%,5.25%,--,6.25%,陈轶平,1年又126天,6.25%,6年又192天
中融季季红定开债A,005713,31.08亿元（2019-12-31）,1.14%,2.63%,3.26%,4.38%,--,11.26%,王玥,304天,4.05%,5年又251天
国富恒裕6个月定开债,005822,11.10亿元（2020-02-21）,0.95%,2.28%,2.61%,5.32%,--,10.38%,沈竹熙,149天,2.78%,1年又286天
兴全兴泰定期开放债券,004919,60.66亿元（2019-12-31）,0.76%,1.99%,2.70%,5.53%,--,15.11%,季伟杰/张睿,254天,4.14%,256天/7年又316天
天弘华享三个月定开债,007220,20.32亿元（2019-12-31）,1.24%,3.03%,3.60%,--,--,5.09%,赵鼎龙/姜晓丽,113天,3.48%,113天/7年又218天
工银纯债定开债,164810,2.26亿元（2019-12-31）,0.89%,1.96%,2.55%,5.17%,10.32%,39.93%,李娜,2年又9天,10.65%,3年又43天
鑫元淳利定期开放债券,006142,6.08亿元（2019-12-31）,1.64%,2.94%,3.06%,3.13%,--,6.45%,赵慧,148天,3.65%,4年又55天
景顺长城鑫月薪定期支付债券,000465,5.28亿元（2019-12-31）,0.98%,2.40%,2.65%,5.13%,13.58%,35.28%,袁媛,4年又341天,27.99%,5年又339天
中加颐兴定开债券,005879,30.40亿元（2019-12-31）,0.97%,2.08%,2.83%,5.65%,--,11.48%,杨宇俊,68天,1.74%,3年又350天
南方乾利定开债,005470,33.51亿元（2019-12-31）,0.75%,1.95%,2.72%,4.69%,--,11.76%,黄斌斌,288天,4.12%,2年又27天
鹏华尊享定开债发起式,006029,81.53亿元（2019-12-31）,0.81%,2.04%,2.86%,4.98%,--,7.63%,祝松/邓明明,140天,2.45%,6年又15天/276天
国富恒丰定期债券C,000352,0.16亿元（2020-02-21）,1.48%,2.50%,2.45%,5.67%,13.80%,43.01%,王莉,162天,2.85%,4年又46天
富国聚利三个月定开债,004978,10.48亿元（2019-12-31）,0.66%,1.79%,2.53%,4.28%,--,14.95%,朱梦娜,351天,4.14%,1年又15天
嘉实丰益策略定期债券,000183,7.58亿元（2019-12-31）,1.79%,3.71%,4.18%,7.54%,11.45%,40.72%,轩璇/曲扬,123天,3.98%,123天/8年又112天
