基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
前海开源裕源(FOF),005809,3.15亿元（2019-12-31）,9.88%,14.37%,12.05%,22.90%,--,48.05%,杨德龙/苏辛,257天,20.49%,6年又129天/1年又296天
海富通聚优精选混合(FOF),005220,4.28亿元（2019-12-31）,9.64%,16.49%,16.73%,26.41%,--,19.10%,朱赟,128天,15.52%,180天
富国智诚精选混合(FOF),007898,29.79亿元（2019-12-31）,8.88%,11.94%,--,--,--,12.75%,王登元,183天,11.43%,183天
诺德大类精选(FOF),008079,3.55亿元（2020-01-10）,5.74%,--,--,--,--,12.41%,郑源,89天,11.81%,89天
南方全天候策略(FOF)A,005215,3.34亿元（2019-12-31）,4.38%,6.70%,7.98%,11.44%,--,14.07%,李文良/夏莹莹,2年又0天,12.50%,2年又0天/2年又118天
南方全天候策略(FOF)C,005216,0.94亿元（2019-12-31）,4.33%,6.55%,7.66%,10.78%,--,12.45%,李文良/夏莹莹,2年又0天,11.16%,2年又0天/2年又118天
建信福泽安泰混合(FOF),005217,3.68亿元（2019-12-31）,4.21%,6.44%,6.80%,9.32%,--,12.35%,姜华/王锐/梁珉,1年又57天,13.65%,1年又57天/2年又126天/2年又126天
民生加银康宁养老(FOF),006991,45.95亿元（2019-12-31）,3.62%,5.77%,6.58%,--,--,11.13%,于善辉,316天,10.60%,316天
长信稳进资产配置(FOF),005976,5.90亿元（2019-12-31）,2.24%,3.53%,3.34%,6.92%,--,12.72%,于文婷,1年又184天,12.51%,1年又184天
前海开源裕泽(FOF),006507,3.73亿元（2019-12-31）,3.20%,6.41%,2.92%,5.64%,--,10.50%,杨德龙/苏辛,303天,11.16%,6年又129天/1年又296天
国联安安享稳健养老(FOF),006918,3.63亿元（2019-12-31）,2.67%,3.81%,4.19%,--,--,6.64%,代望涛,316天,6.15%,316天
建信福泽裕泰混合(FOF)A,005925,0.26亿元（2019-12-31）,4.20%,8.62%,8.50%,--,--,11.45%,姜华/王锐/梁珉,214天,11.99%,1年又57天/2年又126天/2年又126天
建信福泽裕泰混合(FOF)C,005926,0.12亿元（2019-12-31）,4.16%,8.51%,8.22%,--,--,9.78%,姜华/王锐/梁珉,214天,11.64%,1年又57天/2年又126天/2年又126天
工银智远配置三个月混合(FOF),008144,45.31亿元（2019-11-19）,1.50%,1.83%,--,--,--,1.88%,周崟,109天,1.63%,1年又119天
泰达宏利全能混合(FOF)A,005221,0.82亿元（2019-12-31）,1.32%,3.23%,3.25%,7.01%,--,8.67%,张晓龙,2年又126天,8.01%,2年又126天
泰达宏利全能混合(FOF)C,005222,0.09亿元（2019-12-31）,1.30%,3.14%,3.08%,6.68%,--,7.78%,张晓龙,2年又126天,7.14%,2年又126天
嘉实领航资产配置混合C,005157,0.85亿元（2019-12-31）,3.86%,6.34%,7.22%,10.37%,--,8.97%,张静,270天,11.32%,2年又132天
嘉实领航资产配置混合A,005156,4.34亿元（2019-12-31）,3.92%,6.56%,7.65%,11.27%,--,11.23%,张静,270天,11.99%,2年又132天
华夏聚惠(FOF)A,005218,5.49亿元（2019-12-31）,5.48%,7.78%,8.21%,12.53%,--,15.70%,李晓易/郑铮,1年又43天,16.73%,1年又43天/2年又125天
中欧预见养老2035(FOF)C,006322,0.72亿元（2019-12-31）,6.58%,9.99%,11.88%,18.03%,--,26.11%,桑磊,1年又149天,26.01%,1年又149天
中融量化精选(FOF)A,005758,0.24亿元（2019-12-31）,1.14%,5.18%,4.45%,6.06%,--,7.95%,哈图,1年又308天,7.89%,1年又308天
华夏聚惠(FOF)C,005219,1.07亿元（2019-12-31）,5.45%,7.66%,8.00%,12.08%,--,14.62%,李晓易/郑铮,1年又43天,16.21%,1年又43天/2年又125天
中欧预见养老2035(FOF)A,006321,5.61亿元（2019-12-31）,6.62%,10.10%,12.10%,18.49%,--,26.81%,桑磊,1年又149天,26.72%,1年又149天
南方合顺多资产(FOF)A,005979,0.19亿元（2019-12-31）,7.41%,12.18%,14.28%,19.14%,--,19.66%,夏莹莹,1年又50天,19.62%,2年又118天
南方养老2035(FOF)C,006291,0.75亿元（2019-12-31）,5.26%,7.32%,8.50%,15.71%,--,19.73%,鲁炳良/黄俊,1年又77天,19.07%,1年又77天/3年又222天
鹏华养老2035混合(FOF),006296,3.08亿元（2019-12-31）,3.95%,6.19%,7.19%,14.27%,--,15.07%,焦文龙,1年又83天,15.18%,2年又305天
上投摩根尚睿混合(FOF),006042,0.34亿元（2019-12-31）,8.05%,10.54%,10.18%,19.79%,--,25.54%,刘凌云/孟鸣,1年又205天,24.42%,1年又205天/1年又205天
华夏聚丰混合(FOF)C,005958,0.44亿元（2019-12-31）,0.92%,0.54%,0.67%,1.78%,--,2.52%,郑铮,1年又136天,2.43%,2年又125天
华夏养老2040(FOF),006289,5.09亿元（2019-12-31）,7.20%,12.10%,12.36%,18.63%,--,21.32%,李铧汶/许利明,1年又176天,21.54%,4年又114天/5年又194天
嘉实养老2040混合(FOF),006307,0.43亿元（2019-12-31）,8.21%,13.49%,14.39%,--,--,18.45%,郑科,1年又2天,18.48%,1年又2天
泰达宏利泰和平衡养老(FOF),006306,2.84亿元（2019-12-31）,3.98%,5.62%,5.43%,7.74%,--,11.81%,张晓龙/王建钦,5天,0.27%,2年又126天/1年又134天
南方养老2035(FOF)A,006290,5.13亿元（2019-12-31）,5.29%,7.43%,8.72%,16.19%,--,20.37%,鲁炳良/黄俊,1年又77天,19.65%,1年又77天/3年又222天
工银养老2035(FOF),006295,3.07亿元（2019-12-31）,6.46%,10.96%,12.37%,16.53%,--,19.15%,蒋华安,75天,8.53%,1年又128天
国投瑞银稳健养老(FOF),006876,6.42亿元（2019-12-31）,3.38%,6.17%,7.24%,--,--,9.41%,王宠,348天,9.57%,3年又118天
万家稳健养老(FOF),006294,3.00亿元（2019-12-31）,2.37%,3.82%,4.58%,7.70%,--,8.94%,徐朝贞,1年又85天,8.81%,1年又85天
兴全安泰养老三年(FOF),006580,10.20亿元（2019-12-31）,6.22%,9.74%,11.22%,17.92%,--,27.24%,林国怀,1年又42天,26.99%,1年又42天
汇添富养老2030混合(FOF),006763,3.14亿元（2019-12-31）,6.62%,9.40%,10.64%,13.86%,--,16.46%,蔡健林,1年又71天,16.87%,1年又71天
