基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
华夏乐享健康混合,002264,2.82亿元（2019-12-31）,10.87%,40.95%,46.93%,87.79%,85.10%,93.80%,陈斌,3年又217天,93.80%,5年又35天
博时黄金D,000929,0.11亿元（2019-12-31）,6.53%,11.11%,6.41%,31.71%,33.72%,66.28%,王祥/赵云阳,3年又126天,31.04%,3年又126天/7年又116天
博时黄金I,000930,6.17亿元（2019-12-31）,6.53%,11.11%,6.40%,31.64%,32.63%,52.62%,王祥/赵云阳,3年又126天,29.78%,3年又126天/7年又116天
中融医疗健康混合C,006241,0.04亿元（2019-12-31）,6.02%,19.08%,23.03%,38.51%,--,63.17%,甘传琦,95天,22.16%,2年又276天
中融医疗健康混合A,006240,0.08亿元（2019-12-31）,6.10%,19.41%,23.33%,39.18%,--,64.72%,甘传琦,95天,22.50%,2年又276天
国投瑞银医疗保健混合,000523,4.34亿元（2019-12-31）,6.26%,27.18%,27.05%,45.90%,45.87%,160.24%,张佳荣,4年又68天,52.89%,4年又98天
融通健康产业灵活配置混合,000727,1.56亿元（2019-12-31）,9.37%,27.30%,37.56%,81.79%,73.57%,99.60%,万民远,3年又187天,76.95%,3年又194天
汇安丰裕灵活配置混合A,004558,1.07亿元（2019-12-31）,12.34%,23.91%,29.28%,49.54%,--,32.81%,朱晨歌,148天,31.44%,2年又28天
富国低碳新经济混合,001985,10.99亿元（2019-12-31）,14.17%,31.55%,30.21%,56.31%,88.52%,116.80%,杨栋,4年又81天,116.80%,4年又203天
长城医疗保健混合,000339,2.13亿元（2019-12-31）,10.54%,31.07%,43.63%,78.31%,96.72%,191.15%,谭小兵,4年又7天,156.52%,4年又34天
融通医疗保健行业混合,161616,10.13亿元（2019-12-31）,8.44%,25.43%,30.73%,62.90%,44.58%,143.71%,蒋秀蕾,1年又237天,34.12%,6年又45天
国投瑞银国家安全混合,001838,11.33亿元（2019-12-31）,15.29%,9.64%,-2.89%,2.35%,-26.47%,-26.10%,李轩,4年又97天,-26.60%,4年又97天
圆信永丰医药健康,006274,0.95亿元（2019-12-31）,3.83%,17.13%,17.47%,31.33%,--,42.20%,肖世源,99天,17.88%,2年又260天
汇安丰裕灵活配置混合C,004559,0.01亿元（2019-12-31）,12.33%,23.88%,29.58%,63.67%,--,43.67%,朱晨歌,148天,31.72%,2年又28天
国投瑞银白银期货(LOF),161226,7.89亿元（2019-12-31）,-1.95%,0.35%,-12.73%,13.21%,-12.99%,-14.30%,邹立虎/赵建,2年又175天,-5.78%,2年又175天/6年又164天
前海开源沪港深核心资源混合A,003304,0.25亿元（2019-12-31）,15.68%,23.55%,11.28%,21.95%,50.36%,52.92%,吴国清,213天,12.88%,4年又165天
前海开源沪港深核心资源混合C,003305,0.28亿元（2019-12-31）,15.67%,23.56%,11.24%,21.76%,49.92%,52.32%,吴国清,213天,12.85%,4年又165天
前海开源金银珠宝混合A,001302,5.95亿元（2019-12-31）,10.16%,14.10%,4.59%,19.98%,-3.54%,11.70%,谢屹,4年又243天,11.70%,4年又243天
前海开源金银珠宝混合C,002207,2.21亿元（2019-12-31）,10.13%,14.02%,4.47%,19.87%,-4.02%,9.80%,谢屹,4年又97天,9.80%,4年又243天
西部利得多策略优选混合,673030,1.29亿元（2019-12-31）,4.14%,9.69%,6.38%,17.59%,32.18%,37.73%,韩丽楠,12天,-2.61%,4年又216天
南方医药保健灵活配置混合,000452,6.92亿元（2019-12-31）,5.99%,22.72%,30.54%,57.77%,71.53%,192.95%,王峥娇/茅炜,1年又224天,53.15%,1年又224天/4年又34天
中银医疗保健混合,005689,6.38亿元（2019-12-31）,6.60%,22.99%,31.15%,75.76%,--,90.65%,刘潇,1年又268天,90.65%,1年又268天
富国精准医疗混合,005176,18.40亿元（2019-12-31）,10.66%,28.43%,40.22%,82.02%,--,123.77%,于洋,2年又9天,117.34%,2年又134天
诺安灵活配置混合,320006,12.95亿元（2019-12-31）,4.41%,19.01%,13.89%,17.38%,9.81%,315.38%,张强,2年又362天,10.25%,3年又4天
易方达供给改革混合,002910,0.56亿元（2019-12-31）,16.21%,31.15%,32.04%,26.80%,11.63%,13.26%,杨宗昌/兰传杰,319天,24.45%,319天/1年又73天
富国医疗保健行业混合,000220,12.83亿元（2019-12-31）,11.01%,27.48%,36.63%,71.06%,97.92%,242.80%,于洋,2年又9天,104.53%,2年又134天
前海开源沪港深智慧生活混合,001972,0.22亿元（2019-12-31）,8.71%,20.71%,21.32%,26.55%,42.75%,67.30%,赵雪芹,3年又7天,42.38%,4年又42天
前海联合国民健康混合C,007111,0.07亿元（2019-12-31）,8.77%,24.91%,29.69%,--,--,41.73%,林材,351天,41.73%,6年又65天
圆信永丰兴源灵活配置混合A,001965,1.63亿元（2019-12-31）,4.41%,15.29%,13.64%,37.33%,--,35.00%,肖世源,23天,6.72%,2年又260天
浦银安盛医疗健康混合,519171,9.94亿元（2019-12-31）,10.19%,23.19%,28.93%,52.76%,56.17%,19.00%,陈蔚丰,2年又127天,56.79%,4年又288天
华夏医疗健康混合C,000946,3.97亿元（2019-12-31）,6.79%,27.99%,31.19%,52.17%,44.05%,99.80%,陈斌,5年又35天,99.80%,5年又35天
