基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
华安黄金易ETF联接C,000217,28.30亿元（2019-12-31）,6.45%,11.03%,6.29%,31.52%,31.75%,35.25%,许之彦,1年又161天,39.94%,13年又129天
华安黄金易ETF联接A,000216,14.85亿元（2019-12-31）,6.47%,11.12%,6.42%,31.60%,31.97%,36.00%,许之彦,1年又161天,39.79%,13年又129天
博时黄金ETF联接C,002611,40.40亿元（2019-12-31）,6.46%,10.89%,6.34%,30.53%,31.08%,27.89%,王祥/赵云阳,3年又126天,28.18%,3年又126天/7年又116天
易方达黄金ETF联接C,002963,6.63亿元（2019-12-31）,6.72%,11.13%,6.67%,30.21%,29.95%,25.29%,余海燕/范冰,1年又209天,35.48%,8年又113天/2年又348天
博时黄金ETF联接A,002610,3.82亿元（2019-12-31）,6.49%,10.99%,6.52%,30.98%,32.46%,29.72%,王祥/赵云阳,3年又126天,29.71%,3年又126天/7年又116天
国泰黄金ETF联接C,004253,1.17亿元（2019-12-31）,6.54%,11.21%,6.37%,31.16%,--,29.95%,徐成城/艾小军,2年又45天,31.92%,3年又33天/6年又55天
易方达黄金ETF联接A,000307,6.35亿元（2019-12-31）,6.74%,11.22%,6.79%,30.46%,30.88%,29.51%,余海燕/范冰,1年又209天,35.87%,8年又113天/2年又348天
国泰黄金ETF联接A,000218,1.20亿元（2019-12-31）,6.57%,11.31%,6.56%,31.53%,32.17%,39.57%,徐成城/艾小军,2年又45天,32.73%,3年又33天/6年又55天
广发医药卫生联接C,002978,1.20亿元（2019-12-31）,1.69%,16.46%,16.58%,25.84%,19.87%,24.08%,霍华明/陆志明,2年又322天,19.31%,2年又322天/8年又280天
广发医药卫生联接A,001180,14.31亿元（2019-12-31）,1.71%,16.52%,16.67%,25.97%,20.54%,-2.17%,霍华明/陆志明,2年又322天,19.93%,2年又322天/8年又280天
国泰中证生物医药ETF联接A,006756,0.41亿元（2019-12-31）,2.24%,21.57%,21.74%,--,--,39.96%,徐成城/梁杏,326天,39.96%,3年又33天/3年又273天
国泰中证生物医药ETF联接C,006757,0.81亿元（2019-12-31）,2.22%,21.48%,21.48%,--,--,39.07%,徐成城/梁杏,326天,39.07%,3年又33天/3年又273天
汇添富中证医药ETF联接C,007077,0.71亿元（2019-12-31）,0.99%,14.01%,13.31%,--,--,20.01%,过蓓蓓,347天,20.01%,4年又218天
汇添富中证医药ETF联接A,007076,0.56亿元（2019-12-31）,1.01%,14.12%,13.53%,--,--,20.45%,过蓓蓓,347天,20.45%,4年又218天
嘉实中证金边国债ETF联接C,000088,0.02亿元（2019-12-31）,0.75%,1.78%,0.92%,1.25%,-1.22%,7.03%,王亚洲,126天,2.20%,4年又243天
