基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
工银医药健康股票A,006002,2.65亿元（2019-12-31）,12.77%,29.82%,44.77%,77.80%,--,108.15%,谭冬寒,75天,31.91%,3年又187天
工银医药健康股票C,006003,2.77亿元（2019-12-31）,12.72%,29.58%,44.28%,76.52%,--,105.91%,谭冬寒,75天,31.74%,3年又187天
金鹰医疗健康产业C,004041,1.22亿元（2019-12-31）,12.27%,20.13%,26.32%,44.05%,--,55.26%,韩广哲,94天,23.41%,1年又261天
金鹰医疗健康产业A,004040,0.07亿元（2019-12-31）,12.31%,20.26%,26.59%,45.03%,--,48.12%,韩广哲,94天,23.55%,1年又261天
招商体育文化休闲股票,001628,0.48亿元（2019-12-31）,4.56%,11.76%,9.10%,25.74%,31.88%,5.50%,李佳存,2年又119天,18.67%,5年又38天
工银养老产业股票,001171,7.89亿元（2019-12-31）,8.87%,30.66%,37.02%,53.28%,87.88%,24.00%,谭冬寒/赵蓓,96天,33.91%,3年又187天/5年又111天
工银前沿医疗股票,001717,11.40亿元（2019-12-31）,12.03%,31.81%,44.21%,77.99%,118.32%,151.50%,谭冬寒/赵蓓,96天,34.56%,3年又187天/5年又111天
工银医疗保健股票,000831,32.38亿元（2019-12-31）,9.54%,26.27%,38.39%,65.96%,82.91%,136.50%,谭冬寒/赵蓓,1年又192天,61.21%,3年又187天/5年又111天
华商医药医疗行业股票,008107,9.05亿元（2019-12-27）,7.37%,--,--,--,--,7.42%,陈恒,71天,7.42%,2年又225天
广发医疗保健股票,004851,27.29亿元（2019-12-31）,10.96%,24.60%,39.67%,88.61%,--,113.15%,吴兴武,1年又123天,108.09%,5年又25天
中金新医药股票C,007005,0.32亿元（2019-12-31）,4.64%,17.85%,28.97%,--,--,45.13%,兰兰,298天,45.13%,298天
宝盈医疗健康沪港深股票,001915,1.79亿元（2019-12-31）,10.32%,29.52%,37.63%,80.02%,68.66%,49.60%,郝淼/曹潜,1年又50天,121.96%,1年又50天/2年又23天
中金新医药股票A,006981,1.32亿元（2019-12-31）,4.68%,17.96%,29.34%,--,--,46.13%,兰兰,298天,46.13%,298天
大摩进取优选股票,000594,0.57亿元（2019-12-31）,9.27%,15.91%,18.88%,31.02%,28.63%,104.00%,朱睿/缪东航,322天,27.50%,322天/3年又42天
创金合信医疗保健股票A,003230,0.16亿元（2019-12-31）,11.37%,27.34%,40.60%,76.33%,94.53%,92.78%,皮劲松,1年又128天,99.16%,1年又128天
创金合信医疗保健股票C,003231,0.47亿元（2019-12-31）,11.31%,27.11%,39.91%,75.67%,82.78%,80.96%,皮劲松,1年又128天,98.12%,1年又128天
招商医药健康产业股票,000960,9.14亿元（2019-12-31）,6.49%,25.02%,29.71%,68.00%,94.18%,96.90%,李佳存,5年又38天,96.90%,5年又38天
鹏华医药科技,001230,13.22亿元（2019-12-31）,9.47%,17.75%,23.46%,47.01%,46.45%,-23.70%,金笑非,2年又222天,50.20%,3年又257天
上投摩根智慧互联股票,001313,17.89亿元（2019-12-31）,5.27%,27.57%,37.38%,47.54%,51.49%,1.80%,郭晨,4年又273天,1.80%,8年又321天
银华医疗健康量化优选A,005237,0.21亿元（2019-12-31）,4.05%,19.18%,21.55%,41.33%,--,33.47%,马君,1年又25天,62.65%,7年又186天
中欧医疗创新股票A,006228,3.12亿元（2019-12-31）,11.61%,23.25%,39.13%,56.58%,--,56.58%,葛兰,1年又8天,56.58%,4年又244天
银华医疗健康量化优选C,005238,0.06亿元（2019-12-31）,4.01%,19.10%,21.33%,40.97%,--,32.65%,马君,1年又25天,62.24%,7年又186天
中欧医疗创新股票C,006229,2.22亿元（2019-12-31）,11.54%,23.02%,38.83%,55.41%,--,55.41%,葛兰,1年又8天,55.41%,4年又244天
鹏华医疗保健股票,000780,12.14亿元（2019-12-31）,8.04%,21.83%,33.48%,65.35%,44.36%,84.20%,郎超/金笑非,1年又330天,41.37%,1年又330天/3年又257天
前海开源中药股票A,005505,0.09亿元（2019-12-31）,-5.27%,7.16%,1.80%,7.63%,--,52.92%,范洁,89天,7.49%,2年又184天
前海开源中药股票C,005506,0.26亿元（2019-12-31）,-5.29%,7.11%,1.71%,7.49%,--,52.64%,范洁,89天,7.42%,2年又184天
广发优势增长股票,007750,14.98亿元（2019-12-25）,10.24%,--,--,--,--,12.58%,邱璟旻,73天,12.58%,3年又322天
交银医药创新股票,004075,6.18亿元（2019-12-31）,7.70%,21.43%,33.39%,73.95%,--,111.37%,楼慧源,1年又167天,84.38%,1年又177天
国泰大健康股票,001645,5.68亿元（2019-12-31）,11.97%,35.40%,42.14%,81.05%,105.12%,168.50%,徐治彪,2年又129天,59.44%,4年又75天
嘉实资源精选股票C,005661,0.04亿元（2019-12-31）,6.65%,12.30%,11.32%,17.56%,--,26.54%,苏文杰/吴云峰,1年又136天,26.57%,1年又136天/5年又103天
嘉实资源精选股票A,005660,0.24亿元（2019-12-31）,6.69%,12.42%,11.51%,17.96%,--,27.31%,苏文杰/吴云峰,1年又136天,27.32%,1年又136天/5年又103天
前海开源外向企业股票,003492,0.17亿元（2019-12-31）,6.62%,10.68%,9.04%,11.80%,24.87%,27.54%,石峰,246天,17.74%,1年又226天
工银战略转型股票,000991,10.72亿元（2019-12-31）,13.26%,29.16%,29.62%,43.29%,76.06%,79.40%,杜洋,2年又76天,43.98%,5年又21天
嘉实医药健康股票C,005304,1.12亿元（2019-12-31）,6.27%,23.72%,29.26%,59.71%,--,49.39%,颜媛,1年又87天,79.49%,4年又114天
嘉实医药健康股票A,005303,11.54亿元（2019-12-31）,6.33%,23.96%,29.72%,60.80%,--,52.00%,颜媛,1年又87天,81.00%,4年又114天
长盛医疗行业量化配置股票,002300,0.49亿元（2019-12-31）,7.65%,20.86%,30.14%,52.27%,54.97%,57.60%,周思聪,289天,51.54%,5年又270天
中海医疗保健主题股票,399011,19.01亿元（2019-12-31）,7.44%,14.38%,20.13%,43.18%,111.39%,259.09%,易小金,186天,21.76%,1年又302天
农银医疗保健股票,000913,23.57亿元（2019-12-31）,8.08%,20.61%,34.48%,73.70%,80.29%,92.48%,赵伟,2年又255天,103.06%,2年又261天
