基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
天弘中证医药100A,001550,4.85亿元（2019-12-31）,0.31%,19.32%,19.03%,28.58%,20.48%,-8.23%,沙川,116天,16.74%,1年又362天
广发医疗指数分级,502056,1.04亿元（2019-12-31）,9.96%,25.39%,31.90%,50.02%,51.65%,9.15%,罗国庆,3年又223天,44.18%,4年又147天
天弘中证医药100C,001551,2.67亿元（2019-12-31）,0.28%,19.26%,18.91%,28.31%,19.67%,-9.21%,沙川,116天,16.65%,1年又362天
银华中证全指医药卫生,005112,2.06亿元（2019-12-31）,4.98%,17.48%,28.36%,49.61%,--,60.86%,秦锋,2年又161天,60.86%,2年又161天
国联安中证医药100A,000059,19.09亿元（2019-12-31）,-0.32%,18.15%,17.84%,24.56%,9.67%,68.61%,黄欣,3年又162天,7.46%,9年又328天
华宝中证医疗指数分级,162412,4.65亿元（2019-12-31）,10.38%,25.76%,33.66%,53.11%,49.54%,-42.10%,陈建华/胡洁,77天,26.89%,7年又77天/7年又144天
国联安中证医药100C,006569,0.04亿元（2019-12-31）,-0.35%,18.04%,17.67%,24.24%,--,47.83%,黄欣,1年又133天,47.83%,9年又328天
汇添富中证精准医疗指数A,501005,3.86亿元（2019-12-31）,4.20%,20.25%,26.04%,46.99%,22.63%,23.44%,吴振翔,4年又47天,23.44%,10年又32天
汇添富中证精准医疗指数C,501006,1.54亿元（2019-12-31）,4.17%,20.13%,25.84%,46.54%,21.34%,21.61%,吴振翔,4年又47天,21.61%,10年又32天
汇添富中证互联网医疗指数C,501008,0.91亿元（2019-12-31）,5.66%,20.40%,20.27%,28.14%,18.85%,18.43%,吴振翔,3年又76天,18.43%,10年又32天
汇添富中证互联网医疗指数A,501007,0.42亿元（2019-12-31）,5.68%,20.54%,20.51%,28.57%,19.73%,19.39%,吴振翔,3年又76天,19.39%,10年又32天
招商国证生物医药指数分级,161726,5.56亿元（2019-12-31）,4.76%,25.07%,29.41%,56.87%,60.23%,7.00%,侯昊,2年又184天,61.03%,2年又198天
汇添富中证中药指数(LOF)C,501012,1.02亿元（2019-12-31）,-6.90%,7.80%,3.45%,-5.19%,-19.63%,-18.71%,过蓓蓓,3年又69天,-18.71%,4年又218天
汇添富中证中药指数(LOF)A,501011,1.08亿元（2019-12-31）,-6.87%,7.91%,3.62%,-4.94%,-19.07%,-18.10%,过蓓蓓,3年又69天,-18.10%,4年又218天
前海开源健康分级,164401,2.89亿元（2019-12-31）,8.40%,20.51%,21.86%,31.94%,27.59%,35.67%,陶曙斌,2年又84天,26.34%,2年又350天
申万菱信申万医药生物分级,163118,4.40亿元（2019-12-31）,2.82%,16.76%,19.38%,32.06%,32.92%,19.81%,龚丽丽,99天,17.71%,4年又141天
富国中证医药主题指数增强,161035,2.15亿元（2019-12-31）,6.56%,21.05%,27.67%,58.03%,58.20%,49.50%,蔡卡尔/牛志冬,57天,15.44%,3年又61天/4年又300天
鹏华中证医药卫生(LOF),160635,0.57亿元（2019-12-31）,1.11%,14.53%,14.31%,19.27%,18.79%,7.15%,罗捷,108天,7.65%,2年又36天
国泰国证医药卫生行业指数分级,160219,12.55亿元（2019-12-31）,3.53%,16.11%,19.84%,34.31%,39.98%,86.31%,徐成城/梁杏,3年又33天,43.00%,3年又33天/3年又273天
大成360互联网+大数据100C,003359,0.09亿元（2019-12-31）,14.47%,20.95%,20.83%,19.18%,-2.87%,8.07%,夏高,3年又49天,8.07%,5年又93天
大成360互联网+大数据100A,002236,0.89亿元（2019-12-31）,14.40%,21.00%,21.11%,19.83%,-1.20%,23.90%,夏高,4年又34天,23.90%,5年又93天
汇添富中证生物科技指数A,501009,1.12亿元（2019-12-31）,5.46%,24.00%,26.62%,50.57%,59.56%,61.17%,过蓓蓓,3年又76天,61.17%,4年又218天
汇添富中证生物科技指数C,501010,1.30亿元（2019-12-31）,5.43%,23.88%,26.44%,50.38%,60.02%,61.51%,过蓓蓓,3年又76天,61.51%,4年又218天
易方达生物分级,161122,1.70亿元（2019-12-31）,3.67%,22.59%,24.92%,51.43%,43.72%,-1.60%,刘树荣/成曦,2年又233天,56.48%,2年又233天/3年又305天
交银国证新能源指数分级,164905,2.70亿元（2019-12-31）,7.94%,21.45%,19.94%,7.93%,-10.77%,-21.63%,蔡铮,4年又348天,-21.63%,7年又72天
中证财通可持续发展100指数C,003184,0.00亿元（2019-12-31）,0.00%,0.00%,0.00%,0.00%,--,0.00%,朱海东/吴迪,225天,0.00%,235天/3年又321天
