,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,2.3887,2.7728,-1.62%
1,2020-05-20,2.4281,2.8185,-1.80%
2,2020-05-19,2.4725,2.8700,2.29%
3,2020-05-18,2.4172,2.8058,-0.19%
4,2020-05-15,2.4219,2.8113,0.45%
5,2020-05-14,2.4110,2.7986,-1.05%
6,2020-05-13,2.4367,2.8285,1.35%
7,2020-05-12,2.4042,2.7908,1.56%
8,2020-05-11,2.3672,2.7478,-0.63%
9,2020-05-08,2.3822,2.7652,0.86%
10,2020-05-07,2.3619,2.7416,0.32%
11,2020-05-06,2.3544,2.7329,2.15%
12,2020-04-30,2.3049,2.6755,2.11%
13,2020-04-29,2.2573,2.6202,-0.58%
14,2020-04-28,2.2704,2.6354,1.96%
15,2020-04-27,2.2268,2.5848,0.51%
16,2020-04-24,2.2156,2.5718,-1.10%
17,2020-04-23,2.2402,2.6004,-0.59%
18,2020-04-22,2.2536,2.6159,0.91%
19,2020-04-21,2.2333,2.5924,-0.58%
20,2020-04-20,2.2464,2.6076,1.20%
21,2020-04-17,2.2197,2.5766,0.57%
22,2020-04-16,2.2072,2.5621,0.88%
23,2020-04-15,2.1879,2.5397,-0.40%
24,2020-04-14,2.1966,2.5498,3.09%
25,2020-04-13,2.1308,2.4734,-0.80%
26,2020-04-10,2.1479,2.4932,-2.16%
27,2020-04-09,2.1953,2.5483,1.27%
28,2020-04-08,2.1677,2.5162,-1.01%
29,2020-04-07,2.1898,2.5419,3.27%
30,2020-04-03,2.1205,2.4614,-0.75%
31,2020-04-02,2.1366,2.4801,2.73%
32,2020-04-01,2.0799,2.4143,-0.57%
33,2020-03-31,2.0919,2.4282,0.40%
34,2020-03-30,2.0836,2.4186,-2.44%
35,2020-03-27,2.1358,2.4792,-0.98%
36,2020-03-26,2.1569,2.5037,-0.20%
37,2020-03-25,2.1612,2.5087,2.67%
38,2020-03-24,2.1050,2.4434,2.40%
39,2020-03-23,2.0557,2.3862,-4.89%
40,2020-03-20,2.1613,2.5088,1.05%
41,2020-03-19,2.1388,2.4827,0.51%
42,2020-03-18,2.1279,2.4700,-1.30%
43,2020-03-17,2.1560,2.5026,0.42%
44,2020-03-16,2.1469,2.4921,-6.06%
45,2020-03-13,2.2854,2.6528,-0.10%
46,2020-03-12,2.2877,2.6555,-2.20%
47,2020-03-11,2.3392,2.7153,-2.44%
48,2020-03-10,2.3977,2.7832,2.98%
49,2020-03-09,2.3283,2.7026,-5.23%
50,2020-03-06,2.4568,2.8518,-1.00%
51,2020-03-05,2.4815,2.8805,-0.01%
52,2020-03-04,2.4818,2.8808,-1.27%
53,2020-03-03,2.5138,2.9180,1.00%
54,2020-03-02,2.4888,2.8890,2.87%
55,2020-02-28,2.4193,2.8083,-4.21%
56,2020-02-27,2.5256,2.9317,0.17%
57,2020-02-26,2.5213,2.9267,-4.60%
58,2020-02-25,2.6430,3.0679,1.41%
59,2020-02-24,2.6063,3.0253,0.71%
60,2020-02-21,2.5878,3.0039,1.64%
61,2020-02-20,2.5461,2.9555,1.98%
62,2020-02-19,2.4966,2.8980,-1.58%
63,2020-02-18,2.5366,2.9444,0.75%
64,2020-02-17,2.5176,2.9224,2.76%
65,2020-02-14,2.4499,2.8438,-0.59%
66,2020-02-13,2.4644,2.8606,0.22%
67,2020-02-12,2.4589,2.8542,2.76%
68,2020-02-11,2.3929,2.7776,0.08%
69,2020-02-10,2.3909,2.7753,0.79%
70,2020-02-07,2.3721,2.7535,0.41%
71,2020-02-06,2.3625,2.7423,2.36%
72,2020-02-05,2.3080,2.6791,1.20%
73,2020-02-04,2.2807,2.6474,4.83%
74,2020-02-03,2.1757,2.5255,-6.57%
75,2020-01-23,2.3288,2.7032,-2.35%
76,2020-01-22,2.3849,2.7683,2.01%
77,2020-01-21,2.3378,2.7137,-1.07%
78,2020-01-20,2.3631,2.7430,1.70%
79,2020-01-17,2.3236,2.6972,0.44%
80,2020-01-16,2.3135,2.6855,0.50%
81,2020-01-15,2.3019,2.6720,-0.26%
82,2020-01-14,2.3080,2.6791,-0.82%
83,2020-01-13,2.3271,2.7013,1.89%
84,2020-01-10,2.2840,2.6512,0.55%
85,2020-01-09,2.2716,2.6368,1.55%
86,2020-01-08,2.2369,2.5966,-0.46%
87,2020-01-07,2.2472,2.6085,0.63%
88,2020-01-06,2.2331,2.5921,0.44%
89,2020-01-03,2.2233,2.5808,0.12%
90,2020-01-02,2.2207,2.5777,2.41%
91,2019-12-31,2.1685,2.5172,0.65%
92,2019-12-30,2.1544,2.5008,1.03%
93,2019-12-27,2.1324,2.4753,-0.88%
94,2019-12-26,2.1513,2.4972,0.08%
95,2019-12-25,2.1496,2.4952,1.11%
96,2019-12-24,2.1261,2.4679,2.05%
97,2019-12-23,2.0834,2.4184,-1.96%
98,2019-12-20,2.1251,2.4668,-0.35%
99,2019-12-19,2.1325,2.4754,-1.42%
100,2019-12-18,2.1633,2.5111,-0.26%
101,2019-12-17,2.1690,2.5177,0.52%
102,2019-12-16,2.1577,2.5046,1.58%
103,2019-12-13,2.1242,2.4657,1.10%
104,2019-12-12,2.1011,2.4389,0.04%
105,2019-12-11,2.1002,2.4379,-0.30%
106,2019-12-10,2.1066,2.4453,1.28%
107,2019-12-09,2.0799,2.4143,-0.35%
108,2019-12-06,2.0872,2.4228,0.71%
109,2019-12-05,2.0724,2.4056,1.49%
110,2019-12-04,2.0420,2.3703,0.52%
111,2019-12-03,2.0315,2.3581,0.77%
112,2019-12-02,2.0159,2.3400,0.08%
113,2019-11-29,2.0142,2.3380,-0.47%
